mood,mood_description,related_words,game_tag
frustrated,"A mood rooted in blocked intentions, unmet goals, or repeated failures. It blends anger with helplessness and may prompt reactive behavior or emotional release.","Annoyed, irritated, exasperated, discontented, dissatisfied, vexed, infuriated, aggravated, peeved, miffed, irked, perturbed, upset, bothered, agitated, angry, enraged, maddened, disheartened, discouraged, thwarted, stymied, impeded, obstructed, blocked, obstructed, hindered, hampered, balked, stifled, constrained, cramped, hemmed in, at wit's end, tearing one's hair out, pulling one's hair, banging one's head against a wall, feeling stuck, caught in a bind, hit a roadblock, spinning wheels, running in circles, going nowhere fast, deadlocked, gridlocked, stonewalled, at a standstill, helpless, hopeless, powerless, impotent, ineffectual, futile, unproductive, fruitless, barren, empty-handed, thwarted plans, dashed hopes, crushed dreams, high-strung, chafing, bridled, seething, simmering, boiling over, ready to explode, pushed to the limit, reaching boiling point, on edge, at the end of one's tether, losing patience, out of sorts, flustered, in a huff, in a stew, tied up in knots, tangled, ensnared, caught in a web.","calm, relaxing, joyful, light-hearted, whimsical"
romantic,"A deeply sentimental and idealistic state that focuses on emotional intimacy, connection, and the poetic or symbolic beauty of shared human experiences.","Loving, passionate, tender, dreamy, amorous, infatuated, enchanted, swooning, affectionate, starry-eyed, smitten, heartwarming, intimate, sweet, alluring, charming, captivated, desirous, devoted, longing, mushy, sentimental, warm-hearted, enchanting, idyllic, blissful, fanciful, poetic, yearning, adoring, besotted, cozy, delightful, eros, flirtatious, honeyed, idyllic, idyllic, lovey-dovey, moonlit, mushy, nostalgic, passionate, poetic, rapturous, rose-tinted, saccharine, soulful, spellbound, star-crossed, tender-hearted, twitterpated, wistful, wooing, amoroso, ardent, balmy, bewitching, captivating, cherishing, cuddly, endearing, enthralling, euphoric, fervent, flirtatious, fond, heart-fluttering, intoxicating, lovesick, magnetic, mesmerizing, paradisiacal, rhapsodic, seductive, serenading, smoldering, swoon-worthy, tantalizing, tender, transcendent, valentine, whimsical.","adventure, engaging, immersive, exploration, whimsical"
tired,"A drained physical or emotional state that signals the need for rest, recovery, or disengagement. It may dull focus, reduce motivation, or heighten sensitivity.","Weary, exhausted, drained, fatigued, worn out, depleted, sluggish, lethargic, drowsy, sleepy, run-down, burnt out, frazzled, spent, out of steam, pooped, bushed, tuckered out, beat, knackered, enervated, listless, sapped, flagging, groggy, dead on one's feet, ready to drop, bone-tired, wiped out, dog-tired, haggard, dragging, out of gas, kaput, petered out, zonked, torpid, sluggish, somnolent, heavy-eyed, fatigued, in need of a nap, on one's last legs, slow, out of energy, needing rest, ready for bed, sleepy-headed, droopy, ready to crash, at the end of one's rope, tapped out, time for a break, needing to recharge, low on energy, feeling like a zombie, needing sleep, craving rest, out of breath, in need of a pick-me-up, dull, lacking vitality.","calm, relaxing, lighthearted, exploration, whimsical"
energized,"A charged and dynamic mood full of vitality, clarity, and movement. It often leads to productivity, enthusiasm, and engagement with the external world.","Invigorated, charged up, alive, animated, alert, spirited, enthusiastic, dynamic, peppy, lively, full of beans, zestful, vibrant, electrified, raring to go, pumped up, jazzed, buzzing, invigorated, on fire, wide awake, hyped, fired up, turbocharged, in high spirits, ready to roll, revved up, brimming with energy, high-octane, excited, eager, sprightly, zippy, effervescent, buoyant, exhilarated, roused, uplifted, in the zone, lit, stoked, amped, supercharged, full throttle, bouncing off the walls, motivated, switched on, keen, fervent, gung-ho, adrenalized, thrilled, passionate, zealous, charged, sparky, glowing, in overdrive, on the move, kinetic, activated, pulsating, awake, stimulated, in full swing, feeling alive.","action-packed, adrenaline, energetic, exciting, intense"
melancholic,"A reflective and emotionally layered mood that carries both sorrow and beauty. Often linked with nostalgia, solitude, and profound inner awareness.","sad, sorrowful, wistful, forlorn, gloomy, somber, mournful, despondent, downhearted, blue, pensive, reflective, nostalgic, doleful, disheartened, heavy-hearted, wistful longing, crestfallen, downcast, lugubrious, sullen, depressed, tearful, melancholia, subdued, introspective, brooding, heartbroken, low-spirited, glum, wistful yearning, dispirited, grief-stricken, plaintive, lamenting, wistful sigh, wistful gaze, wistful dreams, wistful memories, wistful solitude, wistful reflection, wistful silence, wistful eyes, wistful heart, wistful soul, wistful whispers, wistful night, wistful dawn, wistful twilight, wistful echo, wistful shadows, wistful breeze, wistful rain, wistful days, wistful nights, wistful moments, wistful thoughts, wistful tears, wistful embrace, wistful longing, wistful smile, wistful goodbye, wistful farewell, wistful regret, wistful remembrance, wistful yearning, wistful heartache, wistful melancholy, wistful reminiscence, wistful contemplation, wistful solitude","calm, relaxing, exploration, whimsical, wholesome"
nostalgic,"An emotionally warm but distant mood that reflects longing for the past. It is rich with memories, comfort, and a sense of things lost but cherished.","wistful, reminiscent, sentimental, longing, bittersweet, homesick, yearning, reflective, melancholic, pensive, reminiscent, dreamy, heartwarming, tender, poignant, reminiscent glow, memory lane, golden days, rose-tinted, wistful smile, sweet sorrow, time-traveling, old-timey, reminiscent ache, past-hued, longing gaze, fond remembrance, bygone era, cherished past, heartstrings tug, sentimental journey, echoing past, old memories, reminiscent lull, reflective nostalgia, sepia-toned, looking back, time warp, reminiscent warmth, reminiscent sigh, bittersweet memories, longing heart, gentle reflection, sentimental haze, days of yore, nostalgic whimsy, heart-tugging, memory-filled, reminiscent glance, echoing time, wistful yearning, flashback, sentimental smile, tender memories, reminiscent breeze, melancholic glow, longing nostalgia, reminiscent pulse, reminiscent whisper, nostalgic reverie, past reflections, old soul, reminiscent embrace, past echoes, heartwarming past, reminiscent touch.","adventure, nostalgic, exploration, lighthearted, whimsical"
competitive,"A high-stakes, goal-oriented emotional state driven by performance, comparison, and winning. It fuels ambition and thrives on challenge or recognition.","ambitious, driven, aggressive, intense, fiery, determined, goal-oriented, cutthroat, fierce, tenacious, relentless, spirited, hungry, assertive, combative, rivalrous, enthusiastic, motivated, zealous, challenging, focused, passionate, vying, eager, keen, striving, neck-and-neck, head-to-head, gung-ho, battling, feisty, scrappy, in it to win it, on the warpath, eye of the tiger, all-in, hustling, playing to win, in the zone, do-or-die, pushing limits, out for blood, high-stakes, on edge, ready to rumble, game face on, adrenaline-fueled, high-energy, cutthroat, no holds barred, on fire, pumped, locked and loaded, in the race, fighting spirit, competitive streak, gladiatorial, on the offensive, clash of the titans, in the thick of it, pushing the envelope, striving for excellence, out for the crown, eyeing the prize, give no quarter, in hot pursuit, bent on victory, win-at-all-costs, survival of the fittest.","competitive, adrenaline, intense, challenging, action-oriented"
peaceful,"A serene emotional state marked by harmony, quietness, and internal balance. There is no urgency, conflict, or resistance — just presence and acceptance.","calm, serene, tranquil, relaxed, content, at ease, placid, soothing, restful, quiet, still, untroubled, harmonious, composed, mellow, gentle, zen, unworried, cozy, blissful, laid-back, balanced, undisturbed, serene, halcyon, peaceful, meditative, unruffled, pacific, undisturbed, idyllic, chill, chillaxed, smooth, at peace, easygoing, composed, restful, stress-free, unperturbed, collected, unflustered, composed, gentle, soothing, equanimous, soft, lull, daydreamy, nirvana-like, hush, restful, unhurried, hush, pastoral, still, reassuring, undisturbed, tranquilized, gentle, untroubled, harmonious, tranquil, peaceful, serene, calm, quiet, still, undisturbed, restful, soothing, unruffled, composed","calm, relaxing, exploration, whimsical, wholesome"
social,"A mood that desires interaction, communication, and community. People feel drawn to shared experiences, group dynamics, or mutual entertainment.","Outgoing, connected, friendly, chatty, extroverted, gregarious, convivial, sociable, lively, engaging, warm, approachable, inclusive, interactive, communicative, spirited, vivacious, bubbly, affable, amiable, participative, mingling, open-hearted, festive, talkative, companionable, people-loving, group-oriented, camaraderie, welcoming, hospitable, party vibe, networked, team player, cheerful, upbeat, harmonious, jovial, enthusiastic, animated, buzzing, in good company, sharing stories, in sync, cozy, radiant, radiant warmth, collective joy, light-hearted, harmonious, feeling alive, full of life, radiant energy, harmonious vibe, communal spirit, vibrant, effervescent, loquacious, enthusiastic, radiant warmth, high-spirited, heartwarming, animated discussions, in high spirits, togetherness, merry, jovial, effervescent, cordial, radiant energy, joyful, heartfelt connections, in the flow, radiant vibes, effusive, genial.","social exploration, engaging, fun, playful, joyful"
introverted,"A self-reflective state that finds renewal in solitude, deep thought, or low-stimulation environments. It emphasizes introspection over external engagement.","Reserved, contemplative, introspective, solitary, shy, reflective, quiet, withdrawn, reclusive, pensive, thoughtful, private, reticent, meditative, aloof, self-contained, low-key, subdued, inward-looking, taciturn, calm, serene, unassuming, understated, introspective, hermit-like, distant, detached, self-reflective, calm, peaceful, inward, self-reliant, introversive, quietude, seclusive, uncommunicative, composed, tranquil, discreet, musing, reserved, thoughtful, deep-thinking, undemonstrative, sedate, low-profile, mellow, self-sufficient, inwardly-focused, calm demeanor, solitary-minded, observant, unassuming, introspective, self-contained, serene, peaceful, quiet, deep-thinking, low-key, soft-spoken, reflective, gentle, calm, unintrusive, contemplative, modest, shy, pensive, thoughtful, introspective, reclusive, reserved, private, low-key, inward, tranquil, self-contained, unassuming, quiet, peaceful, musing, reserved, thoughtful, calm, introspective, gentle, soft-spoken, solitary, subdued, reticent, inward-looking, self-reflective, meditative","calm, relaxing, immersive, explorative, wholesome"
extroverted,"An expressive and externally focused state driven by social energy, interaction, and group dynamics. Connection recharges the emotional battery.","Outgoing, sociable, gregarious, lively, talkative, energetic, enthusiastic, friendly, open, warm, charismatic, vibrant, chatty, expressive, bubbly, confident, dynamic, spirited, engaging, approachable, vivacious, animated, bold, affable, extrovert, interactive, convivial, open-hearted, expansive, sunny, radiant, magnetic, boisterous, exuberant, effervescent, zestful, showy, unreserved, spontaneous, dramatic, high-spirited, jovial, social butterfly, life of the party, people person, crowd pleaser, center of attention, in the spotlight, outgoing personality, buzz of activity, full of life, zest for life, eager, enthusiastic, electric, magnetic presence, alive and kicking, bursting with energy, full throttle, on full blast, all in, in the mix, sunshine personified, people magnet, conversation starter, lively and loud, vibrant soul, life enthusiast, party animal, heart on sleeve, open book, bold and brassy, socially fearless, naturally gregarious, extroverted energy, socially dynamic, public persona.","action-packed, energetic, engaging, social exploration, fun"
motivated,"A forward-moving state defined by purpose, clarity of goals, and readiness to act. There’s a sense of direction and an internal push toward achievement.","Driven, inspired, energized, enthusiastic, pumped up, determined, focused, ready, ambitious, zealous, fired up, on fire, proactive, committed, eager, goal-oriented, spirited, high-spirited, optimistic, hopeful, passionate, resolute, tenacious, unstoppable, raring to go, charged, activated, in the zone, full of beans, geared up, psyched, roused, up for it, keen, jazzed, fired with enthusiasm, on a mission, full throttle, in high gear, purposeful, intent, resolute, full of drive, feeling alive, on the move, making strides, on the ball, ready to tackle, chomping at the bit, in high spirits, pumped, ready and raring, feeling unstoppable, in full swing, on the go, high on life, in the groove, fully engaged, locked and loaded, bright-eyed and bushy-tailed, ignited, on a roll, in pursuit, fired with ambition, full speed ahead, on track, in momentum, in action, riding high, set to go, ready to conquer, feeling electric, fully charged, on the rise, with gusto, in full stride, all systems go, hot to trot, in flight, in high drive, turbocharged, powering through, with vigor, in the driver's seat","energetic, adventurous, action-packed, exciting, epic adventure"
lazy,"A withdrawn or idle state where energy or drive is lacking, often temporarily. Activities feel burdensome, and comfort or avoidance is prioritized.","Lethargic, sluggish, drowsy, idle, inactive, indolent, listless, unmotivated, unproductive, languid, lackadaisical, slow-moving, torpid, apathetic, couch potato, vegging out, procrastinating, sleepy, fatigued, weary, inert, dawdling, dozing, sluggish as molasses, in a funk, mellow, chill, laid-back, unhurried, restful, unwound, daydreaming, drifting, relaxed, easygoing, loafing, lounging, slothful, nonchalant, dilly-dallying, somnolent, neglectful, apathetic, catatonic, in a haze, sleepyhead, lackluster, blase, zoned out, taking it easy, lollygagging, in a rut, fuzzy-headed, dragging, spent, too tired to care, on autopilot, in slow motion, in a daze, spaced out, sleepy-eyed, in a stupor, half-hearted, droopy, languorous, mellowed out, chilled, half-asleep, dreamlike, snoozing, in dreamland, foggy, worn out, in a lull, mellow mood, low energy, in a slump, barely awake, half-awake","calm, relaxing, lighthearted, playful, whimsical"
grateful,"A mood of appreciation and emotional richness, often grounded in mindfulness. It recognizes the value in people, moments, or life circumstances.","thankful, appreciative, indebted, content, blessed, fortunate, obliged, pleased, satisfied, delighted, gratified, joyful, happy, overwhelmed, touched, moved, honored, humbled, indebted, thankful heart, full of thanks, warm-hearted, in high spirits, feeling lucky, counting blessings, on cloud nine, overjoyed, positive, uplifted, exhilarated, elated, gleeful, blissful, beaming, radiant, appreciative of life, thankful for small mercies, glowing, grateful beyond words, eternally grateful, deeply appreciative, heart full, buoyant, cheerful, good-spirited, merry, light-hearted, serene, peaceful, tranquil, harmonious, in a good place, at peace, fulfilled, contented, satisfied soul, thankfulness, gratitude, in a state of grace, blessed beyond measure, riding high, over the moon, feeling cherished, heartened, spirit lifted, warm inside, sense of abundance, life-affirming, soul-enriching, feeling enriched, feeling nourished.","joyful, light-hearted, playful, relaxing, wholesome"
moody,"A volatile and change-prone emotional condition. It swings between highs and lows, often unpredictably, and can affect perception and decisions.","temperamental, unpredictable, irritable, sullen, brooding, melancholic, introspective, pensive, capricious, whimsical, volatile, agitated, restless, touchy, sensitive, gloomy, wistful, contemplative, changeable, erratic, mercurial, fickle, sulky, petulant, downcast, glum, despondent, blue, gloomy, stormy, turbulent, uneven, reflective, mope, malaise, wistful, bittersweet, mercurial, introspective, edgy, somber, cynical, melancholia, wistful, wistfully, nuanced, dark, stormy, broody, pouting, fractious, skittish, cranky, mood-swing, offbeat, wistfulness, downhearted, disconsolate, pouting, grumpy, irascible, dejected, crestfallen, plaintive, wistfully, touch-and-go, fussy, crabby, huffy, irksome, wistful longing, emotional rollercoaster, tempestuous","adventure, relaxing, light-hearted, playful, whimsical"
overwhelmed,"A heightened emotional state where responsibilities, emotions, or stimuli exceed one’s coping ability. It can lead to paralysis, burnout, or shutdown.","Stressed, anxious, swamped, burdened, inundated, frazzled, overloaded, pressured, strained, besieged, engulfed, buried, drowning, snowed under, overworked, harried, flustered, bogged down, taxed, maxed out, stretched thin, at wit's end, overwhelmed, feeling crushed, suffocated, under the gun, in over my head, barely coping, falling apart, unraveling, overwhelmed with emotion, heavy-hearted, mentally exhausted, emotionally drained, out of my depth, weighed down, burning out, caught in a whirlwind, under pressure, backed into a corner, fraught, panicked, overburdened, struggling, tangled up, feeling lost, in turmoil, chaotic, in a frenzy, breathless, under siege, in a bind, grappling, battling, feeling defeated, overwhelmed with tasks, flooded, bombarded, trapped, imprisoned by stress, pressured to the brink, on the edge, struggling to keep up, feeling the heat, under the pump, in a spin, tense, overwhelmed by life, overwhelmed with responsibilities, feeling small, overwhelmed by thoughts, at capacity, hanging by a thread, under a cloud, out of control, an uphill battle, in crisis mode.","calm, relaxing, lighthearted, playful, wholesome"
